,,CODIFICACIÓN,,,ETIQUETADO,,,,,
33,"Auditar las últimas titulaciones de créditos hipotecarios por parte de las entidades financieras, para determinar que no se haya colado hipotecas basura.",000,,,,,,,,
34,"Parar la ejecución de las hipotecas, impedir el desahucio y garantizar el derecho a la vivienda de las familias trabajadoras.",B103,,,GESTIÓN,VIVIENDA,,,,
35,"Protección del patrimonio familiar, defendiendo del sobre-endeudamiento y limitación de la garantía hipotecaria al bien hipotecado.",000,,,,,,,,
36,Proponer medidas europeas para que las situaciones insolvencia familiar no generar situaciones de exclusión social.,000,,,,,,,,
37,"Exigir disposiciones que reflejen la verdadera situación financiera de los de los bancos, que no disfracen sus cuentas y asuman las perdidas de sus malos negocios para que no se culpabilice a las víctimas de este fraude hipotecario",000,,,,,,,,
38,Investigar el fraude fiscal y establecer responsabilidades de las entidades financieras en el mismo.,000,,,,,,,,
39,"Para IU las cuestiones sociales y las medioambientales están ligadas. El cambio climático es uno de los mayores fracasos del sistema productivo actual. Es necesario reorientar nuestras formas de vida, de producción, distribución y consumo. Proponemos un nuevo tratado mundial sobre la reducción de las emisiones de gases con efecto invernadero consecuente con el cuarto informe del Panel Internacional sobre el Cambio Climático. Exigimos acuerdos máximos en las normas ambientales de la UE así como la garantía de contribuir a salvar la biodiversidad para las generaciones venideras. Proponemos la reforma ecológica de la contabilidad bajo el principio de que “quien contamina paga” y de tomar en consideración tanto el coste de extracción como el coste de reposición de los recursos naturales utilizados, además de incluir la medida de la “huella ecológica”, o huella de deterioro ecológico, para facilitar el control de la evolución positiva o negativa de la sostenibilidad. Demandamos y trabajaremos por una nueva agenda de política ambiental con los objetivos siguientes:",A102,D202,,MEDIOS DE PRODUCCIÓN,EFICIENCIA CONSUMO,CAMBIO CLIMÁTICO Y ENERGÍA,NATURALEZA Y BIODIVERSIDAD,RECURSOS NATURALES Y RESIDUOS,INTEGRACIÓN DE POLÍTICAS
40,"Frente a la Estrategia de Lisboa, IU propone una auténtica estrategia industrial para la UE, generadora de empleos dignos y de calidad, respetuosa con el medio ambiente, basada en la mejora de la formación y en el desarrollo de la investigación, capaz de propiciar el equipamiento productivo equilibrado de todos los territorios de la UE.",A102,,,INNOVACIÓN,,,,,
41,"Proponemos la democratización de la ordenación del territorio que tenga como eje fundamental la ciudadanía, su desarrollo político (participación) y personal (educación, vivienda, sanidad, cultura, deporte, ocio) siempre desde la perspectiva de la sostenibilidad social y ambiental.",D603,,,ORDENACIÓN TERRITORIAL Y URBANÍSTICA,,,,,
42,"Promovemos la elaboración de una Directiva Marco del Territorio, relativa a la ordenación del territorio y el urbanismo, que por un lado genere una red de ciudades medias y por otro evite la concentración en grandes aglomeraciones urbanas insostenibles, además de reducir las necesidades de transporte.",D602,,,ORDENACIÓN TERRITORIAL Y URBANÍSTICA,MOVILIDAD SOSTENIBLE,,,,
43,"Proponemos una planificación política del territorio, con la necesaria y efectiva participación del tejido social, que defina necesidades industriales, agrícolas, ganaderas, turísticas, de servicios e implemente las políticas necesarias para garantizar un desarrollo social justo y ambientalmente sostenible. E impulsaremos una Directiva Marco sobre la Protección del Litoral y de la Plataforma Continental.",D603,,,ORDENACIÓN TERRITORIAL Y URBANÍSTICA,,,,,
44,"Recordamos nuestra premisa fundamental en relación con el urbanismo social y progresista que define la ciudad como espacio de relación, de encuentro entre las personas, con barrios multifuncionales y sostenibles en lo social y en lo ambiental. Debe garantizarse el acceso a una vivienda digna a toda la ciudadanía, y permitirle desarrollar sus proyectos vitales en un entorno equilibrado, sin derrochar más recursos naturales, territoriales y paisajísticos que los estrictamente necesarios y oponiéndonos al crecimiento desordenado de espacios urbanizados con criterios economicistas. Además de especulativo, es un crecimiento insostenible y derrochador de recursos.",D602,,,ORDENACIÓN TERRITORIAL Y URBANÍSTICA,,,,,
45,"Los servicios de transporte y las infraestructuras para el transporte han de basarse en el criterio de que la función del transporte es crear accesibilidad. Accesibilidad que facilite alcanzar los bienes, servicios y contactos con las demás personas. El transporte ha de alcanzar la máxima accesibilidad con la mínima movilidad. Por ello, el sistema de transporte ha de tener carácter universal y ser público, garantizando el servicio a todas las personas, independientemente de su situación geográfica, poder adquisitivo, género o edad. IU promueve el transporte sostenible con los modos a pie, en bicicleta y en tren como columna vertebral del sistema multimodal e integral de transporte.",B103,,,GESTIÓN,ACCESO,,,SERVICIOS DE TRANSPORTE,
46,"La vertebración del territorio y la relación entre Estados, regiones y comunidades se fundamentará en una red de transporte público y colectivo y en el desarrollo y dignificación del ferrocarril normal haciéndolo compatible con el transporte de personas y mercancías. Proponemos el fomento de sistemas de transporte más limpios y seguros, invirtiendo en los transportes públicos de calidad.",B102,,,GESTIÓN,SERVICIOS DE TRANSPORTE,,,,
47,"La geografía europea, sus tradiciones sociales y la especial posición de España, hacen que IU, desde el fomento del transporte público colectivo, apueste por el ferrocarril como el sistema de transporte terrestre fundamental en las grandes y medias distancias. Para ello proponemos:",000,,,,,,,,
48,"La gestión pública de las redes existentes y de sus futuros desarrollos, devolviendo al sistema su unidad de gestión y derogando, por tanto, la Directiva 440/1991 que sentó las bases de los procesos de privatización que se están llevando a cabo en España (con la Ley del Sector Ferroviario) y en el resto de los países de la UE.",B103,,,GESTIÓN,SERVICIOS DE TRANSPORTE,,,,
49,"El cumplimiento del vigente Libro Blanco del Transporte de 2001 y la obligación de que en el horizonte de 2020 al menos el 30% de todas las mercancías que se transportan por tierra en la UE lo hagan por tren, reduciendo la influencia negativa del transporte en el cambio climático y disminuyendo los enormes problemas de congestión, contaminación y siniestralidad que causa la preferencia abusiva por la carretera, los grandes camiones y los combustibles fósiles.",D402,,,AGUA,,,,,
50,Un plan integral de mantenimiento y mejora de la actual red española de ancho ibérico para que pueda utilizarse adecuadamente tanto en el transporte de mercancías como en el de personas.,000,,,,,,,,
51,"Un ferrocarril basado en la proximidad, la vertebración de los territorios servidos y la igualdad entre las personas sea cual sea su lugar de residencia, entendido como un servicio público públicamente gestionado. Para ello los servicios de trenes han de tener precios asequibles a las mayorías sociales y basar sus servicios en la fiabilidad, comodidad y seguridad más que en la velocidad.",B102,,,GESTIÓN,ACCESO,,,SERVICIOS DE TRANSPORTE,
52,"Proponemos restablecer el carácter público de la gestión de los puertos y la armonización de leyes sobre transporte marítimo con las normas más exigentes entre las vigentes en Europa, destacando la seguridad y protección ambiental del medio marino, las costas y playas y las ciudades y zonas costeras. Así como la correcta y armónica integración de los puertos en los tejidos urbanos adyacentes.",D202,,,INTEGRACIÓN DE POLÍTICAS,,,,,
53,"Dadas las experiencias vividas, IU defiende las más exigentes normas técnicas de protección contra siniestros marítimos.",000,,,,,,,,
54,"Promoveremos, junto con los sindicatos, normativas relativas a los derechos que afecten a seguridad, formación y reclutamiento de personal.",000,,,,,,,,
55,Defendemos la dimensión de servicio público del transporte aéreo y la naturaleza pública de AENA y de todos los aeropuertos españoles abiertos al transporte regular de personas.,B102,,,GESTIÓN,SERVICIOS DE TRANSPORTE,,,,
56,"Promovemos normas y directrices sobre seguridad aero náutica, inspección y mantenimiento de aeronaves, así como de protección ambiental contra la contaminación acústica y atmosférica.",000,,,,,,,,
57,Defendemos la recuperación en España de un sector público energético adecuado para garantizar estos fines.,000,,,,,,,,
58,Consideramos que la Unión Europea debe poner en pie una política energética basada en la consideración de la energía como un bien público mundial y no como una mercancía.,000,,,,,,,,
59,"Apostamos por un nuevo modelo productivo, energético y de consumo, eficiente, con empleo de calidad y ecológicamente sostenible a largo plazo, con ahorro de recursos y transporte público, en el que la conciencia ecológica vaya en paralelo al proyecto socio-económico, generando un modelo no consumista. Apostamos por la intervención pública del mercado de la energía, dado que es estratégico, con fijación de precios máximos y servicios mínimos.",A102,D403,,EFICIENCIA ENERGÉTICA,EFICIENCIA CONSUMO,PENURIA ENERGÉTICA,,,
60,"Fomentaremos la producción de energías limpias, destacando la fotovoltaica y la solar térmica, y la aplicación de tarifas progresivas.",D402,,,COMBINACIÓN ENERGÉTICA,,,,,
61,Promoveremos la generación pública de electricidad por los municipios a partir de las fuentes renovables de energía.,D403,,,COMBINACIÓN ENERGÉTICA,,,,,
62,Aumentaremos la inversión en I+D en el campo de las energías renovables.,D402,,,INVESTIGACIÓN,,,,,
63,"Nos oponemos a la energía nuclear, tanto por sus riesgos y residuos como por su coste. La UE debe establecer una moratoria nuclear y el cierre de las centrales nucleares.",D503,D203,,CAMBIO CLIMÁTICO Y ENERGÍA,ENERGÍA NUCLEAR,,,,
64,Fomentaremos el ahorro y la eficiencia energética.,000,,,,,,,,
65,Impulsaremos que la normativa europea obligue al desarrollo de ordenanzas municipales que implanten criterios de eficiencia energética en la construcción y rehabilitación de viviendas.,D602,D202,,CAMBIO CLIMÁTICO Y ENERGÍA,CONSTRUCCIÓN SOSTENIBLE,,,,
66,La actual crisis financiera y económica no puede separar las amenazas del cambio climático de una reorientación de nuestras formas de producción y consumo. Estamos a favor de un desarrollo inmediato y consistente de un nuevo Tratado internacional siguiendo el 4º Informe del Panel Internacional sobre el Cambio Climático y a cumplirse en él el plan de acción de la UE para el periodo 2007-2009. Exigimos el total cumplimiento de todos los compromisos firmados y aceptados por la UE en todos los ámbitos del cambio climático y de las políticas energéticas. Los compromisos siguientes son lo mínimo para el desarrollo de los acuerdos sobre el clima ya firmados:,A102,D202,,MEDIOS DE PRODUCCIÓN,EFICIENCIA CONSUMO,CAMBIO CLIMÁTICO Y ENERGÍA,,,
67,Reducir las emisiones globales un 30% para el 2020 y al menos un 80% para el 2050.,D202,,,CAMBIO CLIMÁTICO Y ENERGÍA,,,,,
68,Aumentar el uso de energías renovables al menos un 25% para el 2020.,D402,,,COMBINACIÓN ENERGÉTICA,,,,,
69,"Reducir el consumo de energía primaria un 25% para el 2020 y aumentar la eficiencia energética en un 2% por año, incluyendo una limitación de consumo per cápita.",D402,,,COMBINACIÓN ENERGÉTICA,,,,,
70,La industria y los productores intensivos de energía deben tener obligaciones de eficiencia.,A102,,,EFICIENCIA ENERGÉTICA,,,,,
71,"El marco europeo de subsidios debe limitarse, por tanto, al sector de la energía eficiente y de las energías renovables.",D403,,,COMBINACIÓN ENERGÉTICA,,,,,
72,"Nos oponemos a la reducción del Protocolo de Kioto a un sistema de mercado de cuota de emisiones. Para que pueda llevar a buen término el Tratado de Kioto 2, es necesario tener una nueva estrategia que permita que la reducción de emisiones favorezca un desarrollo más justo. Es necesario un nuevo paradigma que esté basado en la cooperación en vez de la competencia, empezando por la transferencia de tecnología a los países en desarrollo, la financiación preferente para las tecnologías limpias y políticas de ajuste al cambio climático.",D202,,,CAMBIO CLIMÁTICO Y ENERGÍA,,,,,
73,"Defendemos y proponemos una política de uso social, racional y sostenible integral del agua, primando la eficiencia, el ahorro, la reutilización y la depuración integral de las aguas.",D302,,,AGUA,,,,,
74,"Proponemos el mantenimiento de las capacidades de renovación de los ecosistemas fluviales, humedales, aguas costeras de transición y acuíferos, con aseguramiento de los caudales ecológicos y la aplicación de los planes de cuenca, más el estricto cumplimiento de la Directiva Marco del Agua en la planificación hidrológica de los Estados Miembros.",D202,,,RECURSOS NATURALES Y RESIDUOS,,,,,
75,Nos oponemos a la privatización de cualquiera de las fases del ciclo integral del agua y defendemos una política de tasas y cánones claramente progresiva.,D303,,,AGUA,,,,,
76,"IU promoverá criterios y objetivos para la conservación del patrimonio natural en la ordenación del territorio y el urbanismo, en la agricultura, ganadería, pesca, turismo y transporte, entre otras políticas.",D202,,,INTEGRACIÓN DE POLÍTICAS,,,,,
77,Apostamos por la definitiva implantación y desarrollo de la red de espacios naturales “Natura 2000” y por su conexión en términos ecológicos como medio de garantizar la protección de la biodiversidad y del paisaje.,D202,,,NATURALEZA Y BIODIVERSIDAD,,,,,
78,"Rechazamos la pretensión de la Comisión Europea de tratar de la misma forma a la gran pesca industrial, principal responsable del agotamiento de los recursos, que a los pescadores artesanales que son los principales interesados en el éxito de las políticas de preservación.",A303,,,GESTIÓN FLOTA,,,,,
79,"Por ello, defendemos que la pesca artesanal salga de la consideración de sector sometido a la libre concurrencia y que, en consecuencia, pueda recibir ayudas nacionales y europeas para asegurar su viabilidad.",A303,,,GESTIÓN FLOTA,AYUDAS,,,,
80,"Apostamos por la soberanía alimentaria en el sector agrícola y ganadero, mediante la defensa e impulso de la explotación agrícola familiar, potenciando la recuperación de los espacios agrícolas tradicionales y reconociendo el aporte medioambiental y de preservación que realiza la agricultura extensiva. Establecer un doble etiquetado con precio en origen y precio de venta al consumo.",A203,,,DESARROLLO RURAL,,,,,
81,"Proponemos la declaración de zonas libre de transgénicos en Europa, así como la promoción de la agricultura ecológica.",A203,,,CONDICIONALIDAD,OGM,,,,
82,"Defendemos el desarrollo de una gestión forestal de prioridad ecológica, basada en la protección del suelo y la biodiversidad para prevenir la degradación de la cubierta vegetal y la desertificación.",D302,,,SECTOR FORESTAL,,,,,
83,"Exigimos el cumplimiento de los Planes de Residuos de todo tipo, priorizando los programas de concienciación social y los modelos de consumo sostenibles. Es necesario impulsar el desarrollo tecnológico para avanzar en la modernización de la gestión bajo los criterios de reducción, recuperación y reutilización.",A102,,,MEDIOS DE PRODUCCIÓN,EFICIENCIA CONSUMO,,,,
84,"Demandamos control sobre las concesiones a la gestión privada, para propiciar que el servicio llegue a todas las zonas independientemente de su densidad de población. Defendemos la gestión pública de los residuos tratándolos como materiales reutilizables o reciclables.",000,,,,,,,,
85,"Nos oponemos a la incineración de residuos, ni para su eliminación, ni para su “valorización”.",000,,,,,,,,
86,"Proponemos extender la educación ambiental no sólo a las escuelas, sino a todos los ámbitos, como medida preventiva que favorezca la concienciación social sobre el desarrollo sostenible.",C203,,,ORIENTACIÓN SISTEMAS DE ENSEÑANZA,,,,,
87,"No queremos más privatizaciones de servicios públicos y de bienes comunes sino una recuperación, “remunicipalización”, y reconversión en propiedad pública. Defendemos la existencia de fuertes empresas públicas y más inversión en educación, salud, transporte público, deporte y cultura. Defendemos unos servicios gestionados desde lo público, transparentes, de calidad y participados por los ciudadanos.",B103,,,GESTIÓN,EDUCACIÓN,,,SERVICIOS SANITARIOS,SERVICIOS DE TRANSPORTE
88,"El funcionamiento de los servicios públicos y de los bienes comunes exige formas de propiedad pública socializada. Proponemos una nueva forma gestión pública que permita a los ciudadanos participar en los modelos, la organización y funcionamiento de los servicios públicos. Apostamos por democratizar los servicios públicos para ejercer un control democrático en su gestión.",B103,,,GESTIÓN,DERECHOS,,,,
89,"Frente al criterio de competencia en estos sectores, la Izquierda Europea apuesta por el criterio de cooperación entre Estados, desde la gestión pública, para garantizar nos sólo la calidad y las inversiones necesarias, sino para garantizar precios justos y generar sinergias económicas entre los pueblos, especialmente en el sector energético.",000,,,,,,,,
90,Exclusión del ámbito de la competencia a los Servicios de Interés General.,B103,,,GESTIÓN,,,,,
91,"Los ciudadanos son los que tienen que definir los Servicios de Interés General, pero nuestra propuesta es que al menos, la educación, el cuidado de la infancia, la salud, las pensiones, la protección contra el desempleo, los servicios sociales, el suministro energético, los transportes públicos, el abastecimiento de agua y el saneamiento, los servicios medio ambientales, el servicio de correos, el deporte y la cultura no deben catalogarse como mercancías sino como Servicios de Interés General que deben prestarse por entidades públicas socializadas.",B103,,,GESTIÓN,DERECHOS,,,,
92,Sujetar las actividades de las empresas prestadoras de servicios a las políticas de interés general.,000,,,,,,,,
93,"Reconocer los principios del servicio público: universalidad, continuidad, transparencia, calidad, eficacia económica y social, participación y control público.",B103,B201,,ACCESO,DERECHOS,,,INFO. SERVICIOS PÚBLICOS,
94,Reconocer las peculiaridades de cada estado en la prestación de los servicios.,000,,,,,,,,
95,"Cuando la provisión de los servicios públicos no se haga de forma directa por parte de las administraciones públicas se deberá tener una regulación más estricta de la contratación pública, introduciendo cláusulas sociales y ambientales que garanticen las condiciones laborales mínimas en las empresas concesionarias.",B102,,,GESTIÓN,,,,,
96,Limitar la colaboración público-privada en la creación de servicios públicos basada en financiación alternativa a los ingresos vía impuestos o vía deuda pública.,B102,,,GESTIÓN,,,,,
97,Proponemos una coordinación a escala europea de políticas comunes de interés general. Esto implicaría definir un margen para la intervención pública de la UE frente a las multinacionales.,000,,,,,,,,
98,Derogación de la Directiva Bolkestein y apoyo a la petición de una Directiva Marco sobre los Servicios de Interés General que permita limitar el impacto de las leyes de la competencia y garantizar la capacidad de los poderes públicos para gestionar y financiar estos servicios.,B103,,,GESTIÓN,,,,,
99,"En tanto no se derogue, exigimos a los Gobiernos que en el proceso de transposición determinen con precisión y con la mayor amplitud los Servicios de Interés General a los que no afectará la Directiva.",B102,,,GESTIÓN,,,,,
100,"Proponemos la democratización de la gestión pública, con sistemas de participación y control de los servicios públicos por parte de los agentes sociales. Apoyamos las nuevas fórmulas de gestión social de los servicios públicos, a través de cooperativas u otras entidades ciudadanas sin ánimo de lucro.",B103,,,GESTIÓN,DERECHOS,,,,
101,"Rechazamos la política comercial de la UE en las negociaciones en la OMC y en el AGCS. Apoyamos la iniciativa “Corporaciones locales fuera del AGCS”, integrada por centenares de corporaciones locales en Europa.",000,,,,,,,,
102,"Estamos por una profunda revisión de la Política Agraria Comunitaria (PAC) de la UE. Entendemos que ésta debe estar dirigida hacia el derecho de todos los pueblos del mundo a decidir sobre su política agrícola por sí mismos, en el entendimiento de un completo respeto al medio ambiente.",A202,,,PAC,,,,,
103,Nos oponemos a todo cambio en la PAC que amenace políticas públicas agrícolas. La agricultura ha de estar fuera de las negociaciones de la OMC porque nos oponemos a que la agricultura se convierta cada vez más en un campo de juego para los actores neoliberales y a las medidas liberalizadoras a escala mundial.,A202,,,MEDIDAS DE MERCADO,,,,,
104,La UE debe cambiar su política neoliberalizadora radical y debe reinstaurar los mecanismos que eviten la fluctuación de los mercados agrícolas.,A201,,,MEDIDAS DE MERCADO,,,,,
105,"Izquierda Unida se opone a la actual política de la Unión Europea en relación a la producción de agrocombustibles consistente en un modelo industrial intensivo, con abastecimiento desde terceros países, dónde provoca graves situaciones de destrucción ambiental y desequilibrios en la producción de alimentos, siendo uno de los detonantes de la crisis alimentaria actual. La superficie agrícola europea debe destinarse prioritariamente a la producción de alimentos. Los cultivos destinados a la producción de agrocombustibles sólo podrán establecerse en las superficies destinadas a la retirada de tierras.",D403,D203,,INTEGRACIÓN DE POLÍTICAS,COMBINACIÓN ENERGÉTICA,,,,
106,"Para que ello sea posible, Izquierda Unida apuesta por un cambio en los fundamentos de la política agraria para que verdaderamente apoye un modelo social de agricultura, productivo y sostenible.",A202,,,CONDICIONALIDAD,,,,,
107,Apoyamos la exigencia de soberanía alimentaria.,A203,,,DESARROLLO RURAL,,,,,
108,"Demandamos una política de desarrollo rural integral: el desarrollo de la producción agrícola y las oportunidades de empleo deberían constituir el criterio central del desarrollo rural, con la aplicación de políticas basadas en el sector, apoyando la biodiversidad agrícola y el empleo rural, especialmente para jóvenes y mujeres.",A203,,,DESARROLLO RURAL,,,,,
109,"Defendemos que los subsidios deberían darse bajo criterios económicos, sociales y ambientales y no bajo criterios de beneficio de los grandes productores en algunos sectores. Tenemos que empezar por reorientar la distribución del presupuesto de la PAC y hacerlo, en particular, hacia las necesidades de las zonas rurales, los pequeños productores y las zonas desfavorecidas y las zonas montañosas.",A202,,,CONDICIONALIDAD,MODULACIÓN,,,,
110,"Rechazamos la homogeneización del pago único por explotación, ligada al desacoplamiento de las ayudas directas y en cualquier caso, debería ser de aplicación voluntaria para los Estados Miembros.",A201,,,AYUDAS,,,,,
111,"Todas las ayudas deben estar vinculadas, específicamente a la actividad desarrollada en las explotaciones agrarias lo que supone una ayuda por activo agrario. Eliminando las ayudas directas de la PAC a los titulares que abandonen el sector.",A201,,,AYUDAS,,,,,
112,"El recorte modulado de las ayudas, no puede afectar a los titulares que viven de la actividad agraria y, en todo caso, debe plantearse un recorte drástico a partir de 100.000 €.",A201,,,MODULACIÓN,,,,,
113,"Rechazamos los aumentos indiscriminados de las cuotas lácteas que benefician a los países del Centro de Europa, así como la supresión de la regulación de la producción tanto en el sector lácteo como en el sector vitivinícola, sectores ganaderos, etc.",A201,,,MEDIDAS DE MERCADO,,,,,
114,"Proponemos desarrollar políticas activas para asegurar la viabilidad de la agricultura, sobre el modelo de la explotación familiar agraria sostenible. Debemos mejorar la calidad de vida en el medio rural creando empleo, con estrategias de diversificación e innovación, atención a las situaciones de dependencia, formación e implantación de nuevas tecnologías y desarrollo sostenible. La agroganadería ecológica debe ser objetivo estratégico de las políticas agrarias como alternativa a la actual PAC y como defensa de la soberanía alimentaria. Este impulso a la agricultura y a la ganadería ecológicas que debe ir acompañado del fomento de nuevos hábitos, de consumo alimentario, más saludables y ecológicamente sostenibles.",A203,,,DESARROLLO RURAL,,,,,
115,"Las dotaciones de la RIC se materializarse en actividades económicas productivas generadoras de empleo que permita diversificar la economía canaria (centrada en el sector servicio, el turístico y la construcción) en invertir en I+D+i, energías renovables (eólica y solar), agricultura biológica, reutilización y reciclaje y nuevos productos y procedimientos industriales, en el marco de un modelo de desarrollo sostenible.",A102,,,MEDIOS DE PRODUCCIÓN,INNOVACIÓN,,,,
116,"Fomentar el turismo, con una oferta de calidad compatible con el medio ambiente, con sus valores ecológicos y culturales.",000,,,,,,,,
117,"Crear la Agencia Pública Canaria de Gestión de los fondos RIC para la evaluación y seguimiento de las inversiones, constituyendo el umbral de rentabilidad social en términos de creación de empleo estable y de respeto medioambiental un límite cuantificable, para establecer la viabilidad de los proyectos.",000,,,,,,,,
118,Elaborar planes especiales que garanticen la producción de plátano y tomate canarios.,000,,,,,,,,
119,"Desde IU proponemos la construcción de la Europa Social, y de un modelo social para nuestro país que requiere, nece sariamente, un aumento del gasto público para poder llevar a cabo políticas sociales que mejoren la vida de la gente de manera justa y solidaria.",000,,,,,,,,
120,"Directivas de igualdad real, que se enfoquen de manera integral, incluyendo la paridad (50/50) en el poder y en los órganos de toma de decisiones, facilitando el acceso al trabajo igualitario y eliminando las diferencias salariales, potenciando el acceso a la cultura, a la educación en todos sus niveles y ramas, eliminando el sexismo de los medios de comunicación y proporcionando recursos materiales para la autonomía de las mujeres.",C102,,,IGUALDAD DE GÉNERO,EDUCACIÓN,,,,
121,"Directivas contra la violencia de género, que analicen la estructura patriarcal de la sociedad y aporten soluciones en todos los sectores y ámbitos sociales, públicos y privados, donde se ejerce violencia contra las mujeres, ya sea de forma real o simbólica. Estas Directivas deben centrarse en la prevención de la violencia y en la educación en la igualdad, estableciendo un sistema eficaz de sanciones de las conductas discriminatorias y violentas contra las mujeres.",C102,,,IGUALDAD DE GÉNERO,EDUCACIÓN,,,,
122,"El derecho de las mujeres a un empleo estable, garantizando a igual trabajo, igual salario, creando cuerpos de inspección que controlen a las empresas, promocionando el acceso al empleo público y privado, promoviendo ofertas de empleo público que garanticen el acceso de las mujeres en todos los campos.",C102,,,IGUALDAD DE GÉNERO,EDUCACIÓN,,,,
123,Derecho a la salud y a la prevención de las enfermedades específicas.,000,,,,,,,,
124,Exigimos el derecho de asilo y protección para las mujeres que son o pueden ser víctimas de violencia sexual o prácticas culturales violentas.,C103,,,IGUALDAD DE GÉNERO,REGULACIÓN,,,,
125,"Homogeneizar la normativa europea sobre interrupción voluntaria del embarazo, basada en la libre elección de las mujeres y garantizando sus derechos sexuales y reproductivos.",C103,,,DERECHOS SEXUALES,DERECHOS REPRODUCTIVOS,,,REGULACIÓN,
126,Proponemos Directivas y medidas políticas que acaben con la explotación sexual y que proporcionen medios y cauces públicos suficientes a las mujeres prostituidas para su integración y que se persiga y penalice el proxenetismo en todas sus formas.,000,,,,,,,,
127,"Penalización de los medios de comunicación que mantengan emisiones o anuncios sexistas. Se establecerá un código de conducta de obligado cumplimiento, de modo que si no es respetado, se retiren las licencias administrativas necesarias para el funcionamiento del medio correspondiente.",000,,,,,,,,
128,"Mejora de los programas europeos de información y divulgación del consumo de estupefacientes y alcohol, con medidas que condicionen el control público de sustancias, como el cannabis.",000,,,,,,,,
129,"Orientación única de los recursos generados en forma de tasas e impuestos del tabaco, el alcohol y otras sustancias para el aumento de la financiación de la sanidad pública, como propuesta a nivel europeo por ser la juventud el principal sector poblacional al que se orienta la publicidad de estos productos.",000,,,,,,,,
130,Aprobación de una normativa europea sobre publicidad contra los mensajes orientados a la juventud como potenciales consumidores y consumidoras (por ser los y las más jóvenes quienes estarán más tiempo consumiendo).,000,,,,,,,,
131,En relación a la interrupción voluntaria del embarazo defendemos el derecho de las mujeres jóvenes europeas a decidir libremente sobre su cuerpo. La autonomía en la decisión de las mujeres de 16 años en relación a la IVE sin que sea necesaria ninguna autorización externa.,C103,,,DERECHOS REPRODUCTIVOS,REGULACIÓN,,,,
132,"En relación a la anticoncepción exigimos que tenga carácter gratuito dentro del sistema estatal de salud o como mínimo, el mismo tratamiento financiado que otros productos de farmacia y parafarmacia.",B103,,,ACCESO,SERVICIOS SANITARIOS,,,,
133,"Incentivaremos el alcance de los programas de intervención sobre las relaciones sociales en la edad infantil y juvenil con la integración de culturas diversas y tradiciones como elemento enriquecedor, y nunca segregador con la participación de la juventud como sujeto agente.",000,,,,,,,,
134,Tipificación de la salud laboral como materia específica de juventud para promover una especial atención a los y las trabajadores y trabajadoras menores de 30 años.,000,,,,,,,,
135,"En la línea del apartado de educación, apostamos por la paralización del Proceso de Bolonia y superación de este por una alternativa basada en la importancia del conocimiento, la actualización de los contenidos y las metodologías desde la enseñanza primaria hasta los estudios universitarios.",000,,,,,,,,
136,"Asegurar un foro participativo del estudiantado, con carácter consultivo dentro de los organismos de decisión en materia educativa, actualmente inexistente, formado por el estudiantado, con una presidencia o portavocía rotativa.",B102,,,GESTIÓN,DERECHOS,,,EDUCACIÓN,
137,"Creación de la Agencia Europea de Investigadores e investigadoras como elemento de reorganización de los esfuerzos y recursos orientados a la mejora de la tecnología, la ciencia médica y los estudios históricos y sociológicos de ámbito continental.",000,,,,,,,,
138,Son necesarias unas políticas educativas que fomenten el empoderamiento de las mujeres jóvenes europeas teniendo en cuenta que la construcción de una Europa más social será imposible sin la participación efectiva de las mujeres jóvenes.,C102,,,IGUALDAD DE GÉNERO,EDUCACIÓN,,,,
139,Reivindicamos una educación afectivo sexual de calidad accesible en condiciones de igualdad en todos los centros educativos europeos y la inclusión de las partidas presupuestarias adecuadas a estos efectos en todos los países de Europa.,000,,,,,,,,
140,"Garantía de un sistema de becas públicas que faciliten el acceso de los y las jóvenes a la Universidad. En el mismo sentido, una denuncia permanente del aumento de las tasas universitarias como vía de financiación privada, demandando su congelación.",B103,,,ACCESO,EDUCACIÓN,,,,
141,Ampliar la oferta pública de alojamiento para universitarios de manera que se facilite la movilidad de los y las estudiantes garantizando así la igualdad de oportunidades a la hora de acceder a los estudios superiores independientemente del lugar de origen.,B102,,,ACCESO,EDUCACIÓN,,,,
142,Creación del salario mínimo interprofesional para menores de 30 años basado en criterio de precios (índice ppt) que incluya aspectos tales como: el consumo alimenticio básico medio necesario para mantener a una persona durante un mes y el precio medio de alquiler de una vivienda de 40 metros cuadrados. Todo ello cinco puntos porcentuales por encima.,000,,,,,,,,
143,"Garantía de igualdad de acceso al primer empleo, así como garantía de igualdad en las condiciones de formación de las mujeres jóvenes incorporadas al Mercado laboral, debiendo vigilar los estados la eliminación de condiciones de discriminación, como el “techo de cristal”.",C102,,,IGUALDAD DE GÉNERO,,,,,
144,Eliminación de las prácticas no remuneradas y percepción del 90% del salario que le correspondería al trabajador o trabajadora. Aumentar la inspección laboral para limitar la utilización de los contratos en prácticas como sustitución de puestos de trabajo.,000,,,,,,,,
145,"Poner en marcho políticas integrales a nivel juvenil incluyendo todas las actuaciones necesarias para facilitar la inserción laboral de las y los jóvenes europeos con todas las garantías de calidad, de manera que la contratación de jóvenes no genere “dumping” laboral con el resto de trabajadores y trabajadoras.",000,,,,,,,,
