,,CODIFICACIÓN,,,ETIQUETADO,,,
150,Fomentar la búsqueda activa de empleo y el autoempleo.,000,,,,,,
151,Reformar los servicios públicos de empleo para conseguir una mayor agilidad en su funcionamiento y dotar de mayor efectividad a la red EURES.,000,,,,,,
152,"Favorecer las iniciativas comunitarias que apoyen la jubilación gradual y flexible y la permanencia voluntaria en la vida activa, otorgando a las personas mayores una atención mejor por parte e los servicios de empleo cuando deseen reincorporarse al mercado de trabajo.",000,,,,,,
153,"Hacer del cambio demográfico en Europa una oportunidad para la innovación de políticas sociales. La baja natalidad, la mayor esperanza de vida y el envejecimiento de la población europea, en especial la española, obligan a establecer políticas de reformas para hacer sostenibles las pensiones públicas, la atención sanitaria y la sociosanitaria. Se procurará que se alcance de modo efectivo la edad legal de jubilación y se rechazarán las jubilaciones anticipadas con subsidios públicos, salvo por razones de salud laboral.",000,,,,,,
154,Respaldar las iniciativas comunitarias que favorezcan la coordinación de los sistemas de Seguridad Social y la transferencia de los derechos de pensión con ocasión de movilidad de los trabajadores en el marco de la Unión Europea.,000,,,,,,
155,Impulsar políticas y Directivas en materia de atención sanitaria y sociosanitaria (personas mayores y con discapacidad que padezcan dependencia) que hagan real la circulación de pacientes en la Unión Europea.,C102,,,DIVERSIDAD FUNCIONAL,REGULACIÓN,,
156,"Serán prioritarios el apoyo a la investigación biomédica y el desarrollo de las nuevas tecnologías, en especial la tarjeta, la historia clínica y la receta electrónicas, así como la informatización de la gestión asistencial y la realización de pruebas diagnósticas, todo ello en función de procedimientos que faciliten la interconexión e interoperabilidad de los sistemas sanitarios, haciendo así de Europa un espacio sanitario común.",B102,,,ADECUACIÓN,SERVICIOS SANITARIOS,,
157,"Respaldar las políticas comunitarias orientadas a mejorar la información de los pacientes, la protección de sus datos personales, la reducción de listas de espera y una adecuada atención transfronteriza con mecanismos ágiles de compensación de gastos.",B102,,,ADECUACIÓN,SERVICIOS SANITARIOS,,
158,Impulsar la creación de una Agencia Europea para las Enfermedades Raras que coordine y respalde los programas y acciones de los Estados miembros a favor de quienes padezcan estas enfermedades y sus familias.,B102,,,GESTIÓN,SERVICIOS SANITARIOS,,
159,"Apoyar programas comunitarios en el ámbito de salud pública, con especial atención a la promoción de hábitos de vida saludable, salud de las personas mayores, sanidad exterior, salud ambiental y laboral.",B102,,,ADECUACIÓN,SERVICIOS SANITARIOS,,
160,"Priorizar la salud y los nuevos medicamentos en los Programas Marco Europeos de I+D y el respeto a los derechos de patente, sin perjuicio de la normativa sobre genéricos.",B101,,,ADECUACIÓN,SERVICIOS SANITARIOS,,
161,"Apoyo firme al modelo español de Oficinas de Farmacia como alternativa sanitaria de calidad en el marco europeo, altamente valorada por los ciudadanos.",000,,,,,,
162,Respaldo a las iniciativas comunitarias de lucha contra los medicamentos falsos.,000,,,,,,
163,"Apoyar a las organizaciones de consumidores en sus esfuerzos a favor de la seguridad alimentaría, el funcionamiento de los servicios públicos el buen funcionamiento del comercio electrónico y de la sociedad de la información.",B102,,,DERECHOS,SOCIEDAD DE LA INFORMACIÓN,,
164,Hacer posible que la gestión sanitaria en los Estados Miembros esté respaldada con una financiación suficiente y sostenible y con políticas de recursos humanos motivadoras para favorecer el desarrollo profesional y el reconocimiento social de su función.,B101,,,GESTIÓN,SERVICIOS SANITARIOS,,
165,Ofrecer un marco de igualdad en derechos y obligaciones a los trabajadores inmigrantes legales y luchar contra la inmigración clandestina y las organizaciones que trafican con seres humanos.,C101,,,INTEGRACIÓN,REGULACIÓN,,
166,"Apoyar el desarrollo de las acciones, programas y medidas relacionadas con el concepto de responsabilidad social empresarial cuidando aquellos aspectos que tengan mayor incidencia en las políticas y Directivas europeas sobre medio ambiente, los consumidores y el empleo.",D201,,,INTEGRACIÓN DE POLÍTICAS,,,
167,"Impulsar el Método Abierto de Coordinación para desarrollar las políticas sociales en la Unión Europea, favoreciendo el intercambio de buenas prácticas y contribuyendo así a favorecer un desarrollo positivo de la estrategia social europea más allá del 2010.",000,,,,,,
168,"Apoyaremos el establecimiento de mecanismos de solidaridad en caso de crisis para poder afrontar situaciones graves de falta de suministro. España puede y debe tener un papel relevante, en particular en el abastecimiento de gas, que está lastrado por la falta de interconexión con el resto del continente. La solidaridad va de la mano con la responsabilidad y cada Estado Miembro debe hacer todo lo posible para estar preparado para situaciones de falta de suministro, tanto en lo que se refiere a su propio abastecimiento como en lo relativo a su capacidad de contribuir a paliar las dificultades de otros.",D302,,,ENERGÍA,,,
169,"Impulsaremos el desarrollo de las interconexiones de interés europeo, y en particular de las cuatro identificadas por la UE como prioritarias (Francia- España, Países Bálticos-Mar del Norte, Polonia-Alemania y Países del Este-Mar Caspio), sin las cuales los mecanismos de solidaridad serán imposibles de llevar a la práctica, los objetivos europeos sobre energías renovables no podrán ser cumplidos y la realización de un verdadero mercado interior quedará incompleta.",D302,,,ENERGÍA,,,
170,"Fomentaremos los proyectos de infraestructuras de suministro - como Nabucco, Medgaz y Southstream para el gas natural y la construcción de capacidad de generación masiva de electricidad renovable en el Mediterráneo y el Mar del Norte -, iniciativas fundamentales para la diversificación del abastecimiento de la Unión.",D401,,,INFRAESTRUCTURAS,,,
171,"Trabajaremos para mejorar la eficiencia energética en todos los sectores de actividad para producir más con menos y permitir a los ciudadanos controlar su consumo de manera más responsable. Promoveremos una ampliación de la Directiva Eco-Design a más productos -ejemplo, las ventanas-.",A102,D202,,EFICIENCIA ENERGÉTICA,ECO DESIGN,EFICIENCIA CONSUMO,RECURSOS NATURALES Y RESIDUOS
172,Impulsaremos medidas para permitir a los Estados miembros reducir el IVA para la compra de productos de alta eficiencia energética.,D102,,,ENERGÍA,,,
173,"Apoyaremos programas europeos como el ""Energy Star"", que premia a los productos más eficientes del mercado, e incidiremos en la necesidad de incrementar la implantación de las tecnologías de información y comunicación como medida más eficiente que permitirá al ciudadano gestionar adecuadamente su consumo.",A102,,,,,,
174,"Demandaremos la creación de un marco regulatorio europeo estable y armonizado, que fomente las inversiones en nueva generación, las interconexiones y la modernización de las redes de transporte y distribución.",000,,,,,,
175,Nos esforzaremos para que se haga realidad la construcción del mercado interior de electricidad y gas armonizando las reglas del juego para asegurar igualdad de condiciones para todas las empresas europeas. Los eurodiputados españoles del PPE podemos desempeñar un papel central en la cuarta revisión del paquete de mercado interior con el objetivo de conseguir que todos los Estados miembros compartan un único modelo de mercado para facilitar el libre movimiento de empresas en la Unión.,A401,D401,,,,,
176,Promoveremos la consecución de un mix energético diversificado con una contribución significativa de todas las fuentes bajas de emisiones. Para ello:,D402,,,COMBINACIÓN ENERGÉTICA,,,
177,- Impulsaremos iniciativas de apoyo a las plataformas de investigación europeas para el uso limpio del carbón con el fin de que la tecnología de captura y almacenamiento de CO2 entre en el mercado en 2015.,D401,,,INVESTIGACIÓN,,,
178,"- Propondremos legislación relativa al uso de energías renovables en el transporte, así como en calefacción y refrigeración.",D202,,,CAMBIO CLIMÁTICO Y ENERGÍA,,,
179,- Contribuiremos a que la revisión de la Directiva sobre eficiencia energética en los edificios establezca los incentivos necesarios para ayudar a los ciudadanos a reducir su consumo energético.,D202,,,CAMBIO CLIMÁTICO Y ENERGÍA,,,
180,"Promoveremos un debate en la sociedad europea y en la española basado en las evidencias científicas, ambientales y económicas sobre la contribución de la energía nuclear (energía libre de emisiones de gases de efecto invernadero) a la conservación del medio ambiente, a la reducción de la dependencia energética y al crecimiento económico e impulsaremos una eficaz política en materia de residuos.",D502,,,PARTICIPACIÓN CIUDADANA,,,
181,Mantendremos la presión para que el proyecto ITER de fusión nuclear obtenga una mayor participación económica europea.,D501,,,ENERGÍA NUCLEAR,,,
182,"Trabajaremos para que la Unión Europea impulse un acuerdo, en la cumbre de Copenhague que, más allá de las medidas que ya ha tomado la Unión Europea, tenga como objetivo una reducción mundial efectiva de las emisiones de CO2. La Unión Europea tan sólo es responsable de menos de una sexta parte de las emisiones totales de CO2 que se emiten el mundo, por lo que la participación en dicho acuerdo de países como China, Estados Unidos, la India o Brasil, entre otros, es determinante,.",D201,,,CAMBIO CLIMÁTICO Y ENERGÍA,,,
183,"Contribuiremos a que la UE siga liderando la lucha mundial contra el cambio climático bajo el principio de que los países desarrollados asuman un esfuerzo de reducción de emisiones equiparable, las economías emergentes contribuyan también a la reducción y los que están en vías de desarrollo puedan conseguir un progreso sostenible gracias a la transferencia de tecnologías existentes y a los mecanismos flexibles.",000,,,,,,
184,Apoyaremos todas las medidas de lucha contra el cambio climático que sean verdaderamente eficientes para la consecución de sus fines y fomenten la innovación porque consideramos que combatir el cambio climático tiene que ser visto como una oportunidad para innovar y avanzar en el crecimiento y la competitividad.,000,,,,,,
185,"Promoveremos en la Unión Europea la inversión en mejora de la eficiencia energética y en la investigación destinada a ella, y el establecimiento de incentivos económicos suficientes para estos fines en el seno del 7º Programa Marco.",000,,,,,,
186,"El PP seguirá trabajando y haciendo propuestas para un desarrollo sostenible, realista, equilibrado, flexible y eficiente de los distintos modos de transporte, siendo conscientes de las ventajas de cada uno de ellos. Apoyaremos las medidas de promoción de todos los modos de transporte.",D401,,,SECTORES ENERGÉTICOS,,,
187,"Igualmente, trabajaremos por eliminar todas aquellas trabas que impiden un desarrollo armónico del sistema de transportes (tal es el caso de las recientes medidas en materia de gravámenes al transporte por carretera).",D101,,,TRANSPORTE,,,
188,"Defenderemos que no se llegue a poner en vigor la llamada “directiva de la euroviñeta” que perjudica a las empresas de transporte y empresarios autónomos del sector y hace recaer la carga del pago de las infraestructuras exclusivamente sobre los vehículos pesados, cuando dichos costes están asociados, de forma mayoritaria, a los vehículos privados.",D101,,,TRANSPORTE,,,
189,Defendemos el sistema de concesión para la prestación de servicios públicos regulares permanentes y la idea de abrir el mercado del transporte regular de viajeros por carretera en todos los países de la UE para asegurar la necesaria reciprocidad y transparencia en los procedimientos de contratación pública.,B101,B201,,GESTIÓN,SERVICIOS DE TRANSPORTE,INFO. SERVICIOS PÚBLICOS,
190,"La situación de España en el mapa hace especialmente urgente trabajar en vías de conexión con el resto de la UE, ya que sin infraestructuras no puede haber servicio.",000,,,,,,
191,"Seguiremos luchando para que se aceleren las conexiones pirenaicas a través del País Vasco (conexión Valladolid-Vitoria-Dax), Cataluña (Barcelona-Montpellier-Nimes) y para que se aborde definitivamente la conexión central desde Zaragoza, tanto por ferrocarril (paso de Canfranc y gran capacidad a través del macizo de Vignemale), como por carretera (puerto de Somport). Además, el proyecto del Eje Multimodal de España y Portugal y la conexión Sines-Algeciras-Madrid-París nos permitirán una mayor permeabilidad en la frontera portuguesa y la conformación de grandes ejes de transporte desde el sur hacia el norte de Europa.",000,,,,,,
192,"Solicitaremos que el corredor ferroviario mediterráneo sea incluido en la Red Europea de Transportes a fin de facilitar el transporte de mercancías desde Andalucía, pasando por Murcia, Comunidad valenciana y Cataluña en conexión con las grandes vías de Comunicación Europeas. Así mismo y aprovechando la versatilidad marítimo- terrestre solicitaremos la conexión Valencia-Madrid-Lisboa en un eje radial central de transporte de mercancías.",000,,,,,,
193,"Apoyaremos a la Comisión Europea en la labor de potenciar las líneas regulares de transporte marítimo a través de las dos Autopistas del Mar previstas (una para conectar el Mediterráneo, el Adriático y el Egeo y otra para unir el Atlántico, Cantábrico, Mar del Norte y Mar Báltico).",000,,,,,,
194,"Creemos en la libertad de mercado como una parte más de la libertad del individuo y la consideramos la forma más eficiente de asignación de recursos. En esta línea, apostaremos por acelerar el todavía lento proceso de liberalización del transporte ferroviario atendiendo a criterios de especialización y rentabilidad.",B101,,,GESTIÓN,SERVICIOS DE TRANSPORTE,,
195,"Las medidas relativas a este modo de transporte deber ir acompañadas de otras similares en el sistema portuario y en el transporte marítimo de corta distancia, de forma que existan condiciones uniformes en toda la UE para permitir la iniciativa privada y la promoción de la intermodalidad.",000,,,,,,
196,"Es necesario profundizar en la política de “cielos abiertos” impulsada desde las instituciones comunitarias con el objetivo de tener un espacio aéreo común en la UE, que sustituya los 27 actuales, en la próxima legislatura. Lucharemos por mejorar la cooperación entre los servicios aeroportuarios, las compañías aéreas y los servicios de navegación, consiguiendo así reducir los tiempos de espera, el tiempo de vuelo y el consumo de combustible. Ello es susceptible de ampliarse a los países mediterráneos con los que tenemos intereses compartidos.",000,,,,,,
197,"Al mismo tiempo, defenderemos las obligaciones de servicio público de todos los modos de transporte, especialmente en las zonas rurales más aisladas y las Islas Canarias y Baleares. En el marco de la actual crisis económica la palabra “movilidad” cobra nuevos sentidos y puede suponer el hallazgo de un nuevo puesto de trabajo. Es ahora cuando mejor se aprecia la capacidad de las vías de transporte para ser instrumento de cohesión territorial y social.",B102,,,ACCESO,SERVICIOS DE TRANSPORTE,,
198,Nos comprometemos a defender con firmeza el centro de control español del programa Galileo. instando que a partir del año 2013 sea equiparable a los de Alemania e Italia.,000,,,,,,
199,"Un buen sistema de transportes debe tener siempre presentes los derechos de sus usuarios. Desde esta perspectiva, defenderemos la regulación equilibrada de los derechos y obligaciones de los viajeros y de las empresas transportistas, así como de las condiciones de accesibilidad a todos los medios de transporte.",000,,,,,,
200,"Impulsaremos fiscalidad diferenciada encaminada a promover el uso de vehículos híbridos, hidrógeno y carburantes renovables.",D102,,,ENERGÍA,,,
201,"Consideramos que se debe potenciar el transporte por autobús urbano e interurbano y su renovación tecnológica para lo cual la Unión Europea deberá financiar la ejecución de plataformas reservadas para autobús en las redes viarias y establecer mecanismos de subvención o apoyo financiero a la I+D para acelerar el desarrollo y fabricación de autobuses híbridos, libres de emisiones.",A102,D402,,INNOVACIÓN,SECTORES ENERGÉTICOS,,
202,Facilitaremos la integración de la bicicleta en el plan de acción de la movilidad urbana como medio de transporte que contribuye a un urbanismo sostenible con bajas emisiones.,D402,,,SECTORES ENERGÉTICOS,,,
203,Promoveremos la inclusión de la red de rutas ciclistas europea en la futura red de transporte transeuropea.,000,,,,,,
204,Creemos que los fondos comunitarios deben también servir para la renovación del material móvil y su sustitución por otro más respetuoso con el medio ambiente.,000,,,,,,
205,"En cuanto al transporte marítimo, seguiremos liderando la lucha contra la contaminación marina en nuestras costas e impulsaremos nuevas medidas para reforzar la seguridad marítima y evitar las descargas ilegales de los buques en nuestras costas.",D302,,,MEDIO MARINO,,,
206,"Creemos en la fiscalidad como un medio para conseguir objetivos. La fiscalidad, en la medida de lo posible, debe servir para incentivar, no para castigar; para recaudar, no para confiscar; para dar soluciones al ciudadano, no para encubrir carencias en la gestión. Seguiremos promoviendo iniciativas para la reducción de la excesiva fiscalidad en el sector del transporte, en particular la relativa al gasóleo.",D101,,,ENERGÍA,,,
207,"Seguiremos apoyando todas aquellas medidas que tengan por objeto mejorar la seguridad vial, como la armonización de normas a nivel europeo y el establecimiento de nuevos elementos de seguridad activa y pasiva en los automóviles.",000,,,,,,
208,"Consideramos la prevención como la mejor forma de garantizar la seguridad aérea (inspecciones de equipaje de mano, concesión de licencias, mantenimiento de aeronaves), sin perjuicio de intentar aliviar las obligaciones al usuario que sean compatibles con la seguridad.",000,,,,,,
209,Defensa clara e los intereses españoles ante cualquier propuesta de reforma presentada por la Comisión Europea. Rechazamos de plano el conformismo socialista ante las propuestas de la Comisión.,000,,,,,,
210,"Mantenimiento de una Política Agrícola Común (PAC) fuerte, que se prolongue más allá del año 2013.",A201,,,PAC,,,
211,"Rechazo de cualquier intento de renacionalización de dicha política. Rechazaremos igualmente, toda tentativa de cofinanciación de las ayudas directas que reciben los agricultores europeos ya que esa medida perjudicaría a los países con las economías menos saneadas.",A201,A401,,AYUDAS,,,
212,"Defensa de una PAC que, como se acordó en varios Consejos Europeos, de lugar a una agricultura europea multifuncional, sostenible, competitiva, y repartida por todo el territorio europeo, incluidas las regiones con problemas específicos, que mantenga el espacio natural, aporte vitalidad al mundo rural y que responda a las preocupaciones y exigencias de los consumidores en materia de calidad y seguridad de los alimentos, de protección del medio ambiente y preservación del bienestar de los animales.",A201,,,PAC,,,
213,"Defensa de la puesta en marcha de instrumentos de intervención de mercado que aseguren una mayor estabilidad de los precios agrícolas, con el fin de garantizar rentas adecuadas a los agricultores y precios justos a los consumidores.",A201,,,MEDIDAS DE MERCADO,,,
214,"Modificación del sistema de almacenamiento privado del aceite de oliva de forma que se active automáticamente y a un precio suficiente para evitar situaciones como las que actualmente se están produciendo, que puede ocasionar la desaparición de miles de explotaciones olivareras, causando un daño irreparable al medio rural.",000,,,,,,
215,"Solicitar la anticipación a 2009 del debate sobre la evolución de la situación del mercado lácteo, previsto en la Unión Europea para 2010 y plantear en el mismo la oportunidad de revisar la política láctea europea volviendo a mecanismos de apoyo anteriormente, la revisión de los incrementos lineales de cuota y la permanencia en su caso de las primas láctea y adicional más allá de 2015 para los productores en activo",000,,,,,,
216,Solicitar la puesta en marcha de un programa europeo de apoyo al sector ovino que atraviesa una profunda crisis que les avoca a su desaparición en grandes áreas de España y de la Unión Europea.,000,,,,,,
217,"Garantizar que los fondos dedicados al sector no sufran nuevos recortes. Exigiremos el cumplimiento el acuerdo alcanzado por los Jefes de Estado y de Gobierno en la Cumbre de Bruselas de octubre de 2002, en que los Estados miembros se comprometieron a congelar el gasto de las ayudas directas y de las medidas de mercado hasta el 2013. La revisión prevista en 2010 de los ingresos y gastos de la Unión Europea debe respetar ese compromiso.",A201,,,FINANCIACIÓN,,,
218,Oposición a la transferencia de fondos de la PAC para la financiación de otras políticas comunitarias. Los recursos disponibles en esta categoría de gasto deben permanecer en ella.,A201,,,FINANCIACIÓN,,,
219,Eliminación de cualquier traba para el acceso de los jóvenes a la actividad agraria y apoyo de un mayor refuerzo de las ayudas comunitarias para este fin.,000,,,,,,
220,"Refuerzo de la política de Desarrollo Rural, pero no a costa de un aumento de la modulación obligatoria, que supone un recorte de las ayudas directas que reciben los productores europeos y pone en riesgo la rentabilidad del sector.",A201,,,MODULACIÓN,,,
221,Incluir en las futuras reformas agrícolas medidas para mejorar la competitividad de las producciones europeas frente a las importaciones de países terceros.,A201,,,MEDIDAS DE MERCADO,,,
222,"Exigir a las importaciones los mismos requisitos medioambientales y de seguridad alimentaría que deben cumplir los agricultores europeos. La revisión de los Reglamentos del paquete de Higiene que está anunciada para finales de este año, es un buen momento para reforzar los controles de materias primas y alimentos importados de terceros países, al objeto de garantizar los estándares comunitarios de seguridad alimentaría para los consumidores europeos y evitar la discriminación actual que sufren nuestros operadores, con la consiguiente pérdida de competitividad por las mayores exigencias a las que están sometidas sus producciones.",A201,,,MEDIDAS DE MERCADO,,,
223,Trabajar para que las normas de higiene y seguridad alimentaría se apliquen de modo uniforme en todos los Estados Miembros y para que los controles oficiales se realicen en laboratorios acreditados que ofrezcan las suficientes garantías.,A201,,,CONDICIONALIDAD,,,
224,"Apostar por la sostenibilidad del modelo agroalimentario europeo, velando porque el desarrollo legislativo del Plan de Producción y Consumo Sostenible y Política Industrial Sostenible se haga de manera progresiva, buscando el equilibrio de los aspectos medioambientales, sociales y económicos, y permitiendo la participación activa de la industria agroalimentaria.",A201,D201,,CONDICIONALIDAD,INTEGRACIÓN DE POLÍTICAS,,
225,Fortalecimiento los programas de promoción agroalimentaria comunitarios permitiendo la presencia de marcas en acciones en países terceros.,A201,,,MEDIDAS DE MERCADO,,,
226,Reclamar que en las negociaciones que se realizan en el seno de la Organización Mundial de Comercio no se exijan concesiones adicionales al sector agrario europeo quien ya ha hecho numerosas en todas las últimas reformas de la PAC.,A201,,,MEDIDAS DE MERCADO,,,
227,"Reclamar que los acuerdos bilaterales entre la Unión Europea y países terceros se basen en compromisos equilibrados de forma que no recaiga todo el peso de la negociación en el capítulo agrícola y, en especial, en el sector hortofrutícola. La Unión Europea debe diversificar las concesiones realizadas a los países terceros no poniendo en riesgo la pervivencia de las producciones mediterráneas.",A201,,,MEDIDAS DE MERCADO,,,
228,"Defender el desacoplamiento total de las ayudas, para permitir a las producciones actuales proceder a la adaptación a la actual situación del mercado en condiciones de rentabilidad.",A201,,,AYUDAS,,,
229,"Abogar por una Política Agrícola Común que fomente el desarrollo de una agricultura sostenible, de forma que se minimice el impacto sobre el medio ambiente, se mejore la eficiencia productiva y la competitividad de los sectores productivos, se garantice la diversidad de productos que la sociedad europea demanda, cumpliendo los más elevados requisitos en materia de seguridad alimentaría, medio ambiente, bienestar animal, y se garantice la pervivencia de la actividad agraria en la Unión Europea, apoyándose para ello en los avances que las tecnologías basadas en la ciencia van poniendo a disposición de la sociedad.",A202,,,CONDICIONALIDAD,,,
230,"Reclamar un mayor apoyo de la Unión Europea a la mejora de la gestión del agua en la agricultura, incentivando la introducción de sistemas de riego más eficientes, adaptados a los distintos cultivos, promoviendo la investigación en esta materia.",D301,,,AGUA,,,
231,Promoveremos la biotecnología agraria como una herramienta tecnológica para el desarrollo de una agricultura sostenible aumentando la competitividad de los agricultores europeos y optimizando el uso de los recursos disponibles para lo cual apoyaremos el actual proceso de evaluación basado en criterios científicos y a la Autoridad Europea de Seguridad Alimentaría como Institución responsable del mismo.,A201,,,OGM,,,
232,"La próxima legislatura estará marcada por la inclusión de la política pesquera comunitaria en el procedimiento de codecisión. El Parlamento Europeo será colegislador, por primera vez en materia pesquera, junto al Consejo. El Partido Popular, fuertemente comprometido con el sector pesquero desde la Adhesión de España, no dejará pasar esta oportunidad de intervenir de manera activa en las decisiones de manera que el sector español pueda sentirse respaldado y se compromete a seguir fortaleciendo a la Comisión de Pesca del Parlamento Europeo con la adscripción a la misma de diputados expertos y comprometidos con esta política.",A301,,,DECISIONES,,,
233,"Seguiremos presentando en la próxima legislatura iniciativas para reforzar institucionalmente el papel de la Comisión de Pesca, para mejorar y aumentar las competencias de dicha Comisión, al entender que así lo exige el marco de la nueva Política Marítima integrada y su pilar fundamental, la Directiva sobre Estrategia marina.",A301,,,POLÍTICA MARÍTIMA INTEGRADA,,,
234,"Los Tratados de la Unión Europea exigen que todas las políticas que inciden en el ecosistema marino funcionen de manera integrada y que todas las actividades con impacto en el medioambiente queden interrelacionadas. El Partido Popular entiende que la pesca es, sin duda, una de esas actividades; trabajaremos, por ello, para que la actividad pesquera quede integrada al mismo nivel, y nunca subordinada a decisiones provenientes de otros sectores, incluso con mayor peso económico o de rentabilidad política o mediática.",A301,,,POLÍTICA MARÍTIMA INTEGRADA,,,
235,"La Comisión europea ha presentado recientemente el Libro Verde de lo que será la futura reforma de la Política Pesquera Común del año 2012. El Partido Popular se compromete a que, frente a la anterior reforma del año 2002, la política de conservación y gestión de los recursos dé por fin paso a un nuevo marco jurídico y político capaz de responder a las necesidades reales de la actividad pesquera en un marco internacional ya casi totalmente globalizado, de gran preocupación ante la sostenibilidad de las pesquerías y una creciente e imparable percepción social de que los recursos pesqueros no pertenecen a los pescadores, sino que son un bien común de cuyo buen o mal uso hay que exigir responsabilidades, tanto a los usuarios directos como a las Administraciones que les dan cobertura.",D202,,,INTEGRACIÓN DE POLÍTICAS,,,
236,"Trabajaremos para cambiar, progresivamente el actual y agotado sistema basado en los TACs y cuotas por sistemas basados en la gestión mediante esfuerzo pesquero, más justos, sencillos de controlar -lo que ahorrará recursos financieros- y adecuados a la realidad de una política pesquera basada en el enfoque global de los ecosistemas y en la obtención del máximo rendimiento sostenible de las capturas.",A301,D201,,GESTIÓN PESQUERÍAS,INTEGRACIÓN DE POLÍTICAS,,
237,"Consideramos el principio de estabilidad relativa, especialmente perjudicial para España, y observamos con esperanza los primeros pasos de la Comisión europea para comenzar a debatirlo. No obstante, entendemos que la cuestión no debe acabar en un mero debate, y favoreceremos todas las iniciativas que se presenten para la modificación de un sistema que provoca que países eminente pesqueros no dispongan de cuotas de pesca suficientes, y se vean obligados a descartar pescado porque pertenece a Estados miembros que no tienen flota para pescarlo.",A301,,,GESTIÓN PESQUERÍAS,,,
238,"Seguiremos luchando por la implantación de una gestión pesquera basada en la atribución de derechos de pesca a escala comunitaria para las flotas de altura, como el mejor sistema probado para responsabilizar a las empresas pesqueras de los resultados, económicos y medioambientales de su actividad, y presentaremos iniciativas que aseguren la pervivencia de las flotas más tradicionales o de carácter local.",A302,,,GESTIÓN PESQUERÍAS,GESTIÓN FLOTA,,
239,"Impulsaremos la creación de una política de conservación y gestión basada en objetivos concretos, reduciendo la ingente normativa actual a normas más simples y de más fácil aplicación, basando su funcionamiento en la descentralización y sacando el máximo partido de los Consejos Consultivos Regionales como fórmula de permanente contacto y consulta con el sector pesquero.",A301,,,GESTIÓN PESQUERÍAS,DECISIONES,,
240,"En el marco de las nuevas Perspectivas Financieras a partir de 2013, el Partido Popular considerará prioritario mantener fondos suficientes para facilitar la modernización continuada de la flota pesquera, muy en particular en los aspectos de seguridad y defenderemos que la legislación comunitaria que sustituya al actual Fondo Europeo de la Pesca (FEP) esté dotada de la mayor flexibilidad posible, de forma que cada Estado miembro pueda obtener fondos comunitarios para aquellas medidas que más puedan adaptarse a las características de sus estructuras pesqueras, y en particular todas aquellas que permitan seguir adaptando la flota a los recursos existentes.",A302,,,FINANCIACIÓN,GESTIÓN FLOTA,,
241,"Desarrollaremos todas las iniciativas necesarias para fomentar que los Estados miembros, y en particular el Gobierno español, aprovechen plenamente las nuevas oportunidades surgidas de la reforma del Fondo Europeo de la Pesca tras la crisis del gasoil, en particular apoyando los Planes voluntarios de Adaptación de la Flota presentados por el sector, insistiendo en las ventajas que aporta la posibilidad de reprogramar los Programas Operativos nacionales, que además una mayor financiación, puede favorecer la creación del instrumento ad hoc previsto por la Comisión, lo que puede suponer la movilización de 600 millones de € adicionales.",A302,,,GESTIÓN FLOTA,,,
242,"Fomentaremos una acuicultura racionalizada y respetuosa con el medio ambiente, apoyando sobre todo la investigación tanto en nuevas especies como en tecnología que reduzca el impacto medioambiental.",A302,,,ACUICULTURA,,,
243,"Impulsaremos ante la Unión europea todas las medidas tendentes a acelerar, por parte de los Estados miembros la ordenación de los usos del espacio marítimo.",A301,,,POLÍTICA MARÍTIMA INTEGRADA,,,
244,"Trabajaremos para que el Reglamento comunitario sobre la organización común de mercado de los productos de la pesca y de la acuicultura sea modificado de manera que pescadores y acuicultores obtengan una mayor rentabilidad de sus productos y puedan influir mejor en la fijación de los precios finales al consumidor. Un etiquetado preciso, que asegure trazabilidad del producto desde su origen, apoyo a la inversión en investigación y nuevas tecnologías que favorezcan la aparición de nuevas elaboraciones y nuevas presentaciones, y la búsqueda de todas las fórmulas precisas para favorecer un mayor valor añadido a los productos pesqueros serán objetivos fundamentales.",A301,,,MECANISMOS DE MERCADO,,,
245,Exigiremos que las posibilidades de control que otorga el Reglamento de lucha contra la pesca Ilegal No Declarada y No Regulada sean plenamente puestas en marcha por los Estados miembros ya que en la revalorización de los productos pesqueros nacionales juega un papel fundamental el control de las importaciones para impedir la entrada de productos procedentes de la pesca ilegal a bajo precio.,A302,,,MECANISMOS DE MERCADO,,,
246,Impulsaremos el desarrollo una legislación comunitaria clara que garantice que todos los productos de la pesca importados cumplan escrupulosamente las mismas condiciones higiénico-sanitarias que se exigen a los productos comunitarios.,A301,,,MECANISMOS DE MERCADO,,,
247,"Exigiremos que el Parlamento europeo sea plenamente informado durante el proceso de negociación o renovación de los Acuerdos de Pesca, y que los diputados de la Comisión de Pesca sean admitidos como observadores en las reuniones de las comisiones mixtas bilaterales, y ello como garantía de que la opinión de los pescadores sobre cual debe ser el contenido de los Acuerdos, incluyendo las medidas técnicas, sea debidamente escuchada, ya que cada vez en mayor proporción son las empresas pesqueras las que cofinancian el coste de los Acuerdos",A301,,,DECISIONES,,,
248,Seguiremos apostando por que los Acuerdos de Pesca mantengan una base comercial y que las medidas de contribución al desarrollo tengan carácter complementario ya que la financiación a la cooperación al desarrollo debe descansar fundamentalmente en las políticas previstas para ello.,A301,,,DIMENSIÓN EXTERIOR,,,
249,"Apoyaremos con el fin de fomentar inversiones privadas comunitarias en terceros países, la creación de un marco jurídico de garantía sobre dichas inversiones, sobre todo en los países en vías de desarrollo.",000,,,,,,
