,,CODIFICACIÓN,,,ETIQUETAS,,,,
132,"Elaboració d’una Directiva Marc sobre serveis d’interès general, que garanteixi que les autoritats públiques en tots els nivells puguin definir, organitzar, finançar i avaluar els seus serveis d’interès general.",B102,,,GESTIÓN,,,,
133,Elaboració d’una Directiva Marc per protegir els serveis socials de la legislació sobre mercat i de la competència de la UE.,B103,,,GESTIÓN,,,,
134,Elaboració d’una Directiva perquè cap pensió de cap país de la UE estigui per sota de l'SMI del país i l'obligació d'assegurar la seva viabilitat pública futura.,000,,,,,,,
135,Elaboració d'una directiva marc que estableixi un sistema de rendes mínimes garantides a la UE en funció de la situació personal i familiar.,B103,,,GESTIÓN,RENTA BÁSICA,,,
136,Promoure que tots els estats de la UE ratifiquin la Convenció de les persones amb discapacitat de l’ONU i el seu protocol facultatiu.,C102,,,DIVERSIDAD FUNCIONAL,REGULACIÓN,,,
137,"Garantir el dret a rebre l’assistència personal necessària per viure en comunitat, independentment del tipus de diversitat funcional, l’ètnia o l’edat.",000,,,,,,,
138,Avançar cap a la desinstitucionalització de les persones amb diversitat funcional; crear alternatives basades en la vida comunitària.,000,,,,,,,
139,Incorporar el suport a les persones amb diversitat funcional en els programes de cooperació internacional.,000,,,,,,,
140,Incorporar persones amb diversitat funcional en el disseny i desenvolupament de les Estratègies Europees d’Inclusió Social.,C102,,,DIVERSIDAD FUNCIONAL,REGULACIÓN,,,
141,"Plantejar una política global a nivell europeu. Impulsar que els països de la UE subscriguin la Convenció Internacional sobre Treballadors Migrats. Atès que la majoria d'estats de la UE concep les persones migrades des de la seva condició quasi exclusiva de treballadors, caldria que ho fessin també des d'una visió integral de persones. Cal, doncs, elaborar una Directiva marc conseqüent amb aquesta Convenció.",000,,,,,,,
142,"Promoure que els permisos de treball i residència que s’atorguin en un país de la Unió tinguin validesa en qualsevol altre estat de la Unió, en fer real el dret a moure’s lliurement en l’espai Schengen i a treballar en l’espai europeu.",000,,,,,,,
143,"Revisar la Directiva sobre desplaçaments de treballadors per garantir la igualtat de tracte atès que les recents sentències del TJCE, com les dictades en el casos Laval o Ruffert, posen en dubte la intenció original del legislador europeu.",000,,,,,,,
144,"Modificar les normes existents en relació a les màfies de tràfic de persones, impulsar noves accions per combatre-les i introduir actuacions per fer-hi front en totes les Directives que es discuteixin al Parlament. Promoure que els delictes d'aquest tipus siguin perseguits com a delictes de genocidi.",000,,,,,,,
145,"Dictar normatives que tendeixin a sancionar tota acció o expressió xenòfoba o que discrimini per raó d’origen, nacionalitat, opcions filosòfiques o religioses, etc. Plantejar la seva incorporació a la normativa sobre Discriminació Múltiple.",C102,,,FORMAS DE DISCRIMINACIÓN,REGULACIÓN,,,
146,Que la Comissió promogui la participació del Parlament en la implementació i control de l’Agència Europea d’Asil.,000,,,,,,,
147,"Instaurar procediments d’acció comuns i clars per a les ambaixades i consolats de qualsevol país de la Unió que serveixen de representació diplomàtica de qualsevol altre estat de la Unió (especialment en cas d’absència de seu diplomàtica en algun d’ells),",000,,,,,,,
148,"Crear condicions de control als aeroports i altres punts d’ingrés de persones a la UE per garantir que, si es compleixen les condicions legals establertes per accedir a la UE com a turista, treballador, estudiant, etc., no s’impedeixi exercir aquest dret d’accés sota el supòsit que la persona es pot quedar al país de manera il·legal. Pressuposar una possible situació d’irregularitat viola el principi de legalitat. S'ha d'aconseguir l'escrutini i seguiment independents de les activitats del Frontex, ja que en l’ actualitat no hi ha cap control sobre la seva tasca.",000,,,,,,,
149,"Protecció dels drets a les futures pensions. Actualment hi ha alguns convenis nacionals bilaterals entre Estats de la UE i altres Estats no europeus per permetre als treballadors (europeus o no) accedir als seus drets de pensió de jubilació. Caldrà legislar perquè els estats europeus que no han subscrit aquest conveni bilateral hi siguin integrats. Així, l’estat subscriptor -per defecte- assumirà la representació del tercer estat europeu. Amb aquesta mesura es podran totalitzar les cotitzacions fetes per una persona treballadora, qualsevol que hagi estat el país de la feina, permetent-li accedir al dret provisional i millorant l’import de la seva pensió.",000,,,,,,,
150,"Insistir en la necessitat d'incloure el ""Mandat de Rescat Marítim"" dins de les obligacions de tots els estats membres de la UE, per tal que qui és a la mar en perill d'ofegar-se sigui tractat, abans que res, com a nàufrag.",000,,,,,,,
151,"Reconèixer a tot immigrant legal amb cinc anys de residència a la UE els mateixos drets que gaudeixen tots els seus altres habitants, inclòs el dret a votar i a ser votat. I també mantenir el dret a vot dels europeus que són emigrants de la UE.",000,,,,,,,
152,"Carta de Drets Europeus d’Educació que asseguri el dret a l’educació per a tothom, en condicions d’igualtat i qualitat.",B102,,,ACCESO,EDUCACIÓN,,,
153,Cooperar i coordinar entre les institucions europees i els estats membres la progressiva convergència de les polítiques educatives a fi d’harmonitzar els diferents sistemes educatius per desenvolupar la Carta de Drets Europeus d’Educació i facilitar les oportunitats professionals derivades de la lliure circulació de persones i consolidar una ciutadania europea.,C101,,,CIUDADANÍA EUROPEA,EDUCACIÓN,REGULACIÓN,,
154,"Establiment a tota la Unió Europea de les edats obligatòries d’escolarització que asseguri una duració mínima de 12 anys per a l’educació bàsica i una permanència en els sistemes educatius fins als 18 anys. S’assegurarà l’estudi de dues llengües europees, a més a més de la pròpia, al llarg de l’escolarització obligatòria.",000,,,,,,,
155,"Avançar cap a un currículum bàsic europeu en els àmbits científicotècnic i sociolingüístic, geografia, història i cultura que contribueixi a desenvolupar les capacitats necessàries per a la formació integral de la ciutadania europea.",C101,,,CIUDADANÍA EUROPEA,EDUCACIÓN,,,
156,"Establiment d’uns indicadors, criteris de referència i objectius europeus , estatals, regionals i locals, amb un seguiment de la cooperació i els seus resultats mitjançant informes bianuals.",000,,,,,,,
157,Establiment de la inversió mínima sobre el PIB en tots els sistemes educatius europeus i constitució d’un fons de cohesió educativa que corregeixi els desequilibris i les desigualtats territorials.,B102,,,GESTIÓN,EDUCACIÓN,,,
158,"Assegurar un formació inicial de la funció docent equivalent, per tal que faciliti l’intercanvi i la mobilitat. Homologació de les titulacions dels diferents cicles educatius, amb un registre europeu de titulacions homologades i titulació europea. Desenvolupar el Marc Europeu de Qualificacions per a l’aprenentatge permanent.",000,,,,,,,
159,"Renovar el Programa Integrat d’Aprenentatge Permanent, ara vigent fins al 2013; desenvolupant i incrementant les dotacions dels 4 subprogrames: Comenius per a l’educació infantil i bàsica; Erasmus, en l’educació superior formal i en la formació universitària; Leonardo da Vinci, per a la formació professional; i Grundtvig, per a l’educació d’adults. Així com el subprograma transversal per facilitar: la cooperació política i innovació; el foment de l’aprenentatge de llengües; el de desenvolupament de continguts, serveis, pedagogies i pràctiques innovadores basades en la utilització de les tecnologies de la informació i la comunicació en l’àmbit de l’aprenentatge permanent.",B102,,,ADECUACIÓN,EDUCACIÓN,,,
160,"Actualitzar el programa de treball Educació i formació 2010, per millorar-ne la seva implementació i adaptar-lo a l’Agenda Social europea: aconseguir fer realitat l’aprenentatge permanent; millorar la qualitat i l’eficiència dels sistemes educatius i dels seus resultats; promoure l’equitat i la ciutadania activa; reforçar la innovació i la creativitat a tots els nivells de l’educació i la formació; introduir la dimensió local de les polítiques educatives europees; i millorar el governament del procés i la participació (la Unió Europea, els estats membres, els governs regionals i locals i també els agents socials i la societat civil).",B102,,,ADECUACIÓN,DRECHOS,EDUCACIÓN,,
161,"Creació d’un Consell Europeu d’Educació, dependent de la Comissió, com a òrgan de participació democràtica de la comunitat educativa de la UE, que analitzi i proposi mesures per a la millora dels sistemes educatius europeus.",B103,,,DERECHOS,EDUCACIÓN,,,
162,"Un sistema universitari europeu cohesionat i coordinat. Més enllà de la necessitat d’incrementar els programes d’intercanvi de personal acadèmic i d’estudiants, així com els projectes de recerca compartits, defensem una veritable política universitària europea que ara per ara és gairebé inexistent. Proposem un nou impuls a una europeïtzació de la política universitària que doni coherència al sistema i mobilitzi tots els recursos necessaris per tal d’evitar que l’EEES sigui només un instrument al servei d’un mercat de treball comú que, a més, cada vegada és més precari.",000,,,,,,,
163,"Una universitat al servei de la societat. La universitat ha de ser un element clau de construcció d’una ciutadania europea crítica. Cal promoure mesures per tal que les universitats públiques siguin veritablement servei, motor i consciència de la societat europea. El nou EEES exigeix instàncies de decisió i de participació de la comunitat universitària d’abast europeu.",C101,,,CIUDADANÍA EUROPEA,EDUCACIÓN,,,
164,Una universitat pública que dugui a terme adequadament el servei públic d’educació superior i recerca. Les incerteses del procés i la manca de recursos destinats a la seva aplicació en un context global de liberalització dels serveis educatius ha provocat l’alarma davant la possible dependència de les universitats públiques i de la recerca dels interessos empresarials. Cal que l’EEES es conformi a partir d’allò que volem defensar del nostre model d’universitat entesa com a servei públic i com a espai de creació i transmissió de coneixement crític. Apostem per la cooperació i les xarxes d’universitats públiques de qualitat que facin de la recerca i de la docència elements de progrés i de benestar de las nostres societats. Caldrà racionalitzar el mapa universitari però caldrà assegurar també que totes les universitats públiques -des de la seva autonomia i singularitat- són bones universitats i compten amb els recursos necessaris i que tots els àmbits de coneixement tenen els recursos universitaris suficients per desenvolupar-se.,B101,,,ADECUACIÓN,EDUCACIÓN,,,
165,"Una universitat innovadora i que mira cap al futur. Cal garantir la complicitat de les persones que han de fer possible una adaptació amb èxit a l’EEES. De manera especial, és necessari dotar el professorat dels recursos pedagògics i de coneixement necessaris perquè pugui desenvolupar satisfactòriament la seva funció docent en el nou marc de l’EEES. Element cabdal és garantir que tot el personal docent i investigador treballa amb unes condicions laborals dignes.",000,,,,,,,
166,"Una universitat amb recursos econòmics adequats per dur a terme les seves funcions. La convergència que suposa l’EEES requereix també de la convergència econòmica, i per això hem d’augmentar la despesa en educació superior situant-la com a mínim en l’1’6% del PIB (actualment és de l’1’1%, mentre que la mitjana de la UE-15 és d’1’6% i la de l’OCDE d’1’5%) i augmentar-la progressivament fins arribar al nivell dels països més avançats. Un finançament d’acord amb els principis fixats pel Llibre Blanc de la Universitat de Catalunya (LBUC), que garanteixi la suficiència, l’equitat i la rendició de comptes.",B102,,,GESTIÓN,EDUCACIÓN,,,
167,"Una universitat amb recursos suficients per a beques i ajuts a l’estudi. Si no van acompanyats d’una política de beques decidida, l’EEES serà un element d’augment de les desigualtats en l’accés a la universitat. Qüestió encara més important quan pensem en la universitat més enllà, com a institució referent clau de la formació al llarg de la vida. Per això és inajornable l’augment del nombre de les beques de mobilitat i de matrícula que garanteixin l’equitat en l’accés. En concret, programes europeus de beques que permetin a tots les ciutadanes i ciutadans europeus accedir en condicions d’igualtat a les oportunitats que representa l’EEES, en garantir especialment l’accés de l’alumnat amb rendes més baixes. Així com beques-salari a Catalunya. .",B103,,,ACCESO,EDUCACIÓN,,,
168,"Una universitat amb recursos suficients per a beques i ajuts a la recerca. En especial, cal un augment del nombre de beques destinades específicament a la recerca per donar resposta a la realitat de l’activitat investigadora i garantir tant la retenció de talent com la col·laboració entre equips de diferents universitats i interdisciplinars.",000,,,,,,,
169,"Una aplicació del procés de Bolonya basada en el diàleg i el consens. El malestar manifestat en els últims temps per la comunitat universitària i les critiques a com s’estava adaptant l’EEES fan necessària una nova calendarització de l’aplicació de l’EEES per adaptar el procés, d’acord amb les propostes sorgides del debat i dels espais de participació habilitats tant en l’àmbit català com espanyol. L’adaptació a l’EEES hauria de contemplar recursos suficients per fer front a les febleses i dèficits actuals de la nostra universitat que impedeixen una bona adaptació al procés. En concret, cal singularitzar els aspectes relatius a la docència i la recerca.",000,,,,,,,
170,Una universitat que dóna comptes a la societat. Caldrà fer un seguiment de l’aplicació de l’EEES per tenir capacitat de reorientar ràpidament el procés de manera que les nostres universitats puguin aprofitar les oportunitats del procés de creació de l’EEES i que aquest serveixi per tornar a la universitat i els universitaris els prestigi que es mereixen.,B202,,,RdC UNIVERSIDADES,,,,
171,La investigació científica i la seva aplicació gaudiran de plena llibertat individual I col·lectiva i es regiran únicament per les lleis civils: cap prohibició ni influència religiosa en limitarà el seu desenvolupament.,000,,,,,,,
172,"Fomentar que els governs en el seu conjunt dissenyin i apliquin polítiques que tinguin en compte la perspectiva salut. Per exemple, establint com a preceptiva l’avaluació de l’impacte en la salut, tal i com es va fer en el seu dia amb els estudis de l’impacte ambiental o, com en el cas d’alguns països (entre ells Espanya), s’ha fet amb l’impacte de gènere.",000,,,,,,,
173,"Establir mecanismes per fomentar una planificació urbana centrada en la salut i el benestar de les persones que hi viuen (bones pràctiques, suport econòmic a les accions que ho tinguin en compte, etc.)",D602,,,ORDENACIÓN TERRITORIAL Y URBANÍSTICA,,,,
174,Fomentar polítiques per frenar el canvi climàtic i la degradació mediambiental i les implicacions que se’n deriven per a la salut.,000,,,,,,,
175,"Incloure indicadors de salut en les avaluacions de la major part de polítiques no sanitàries de la UE, tal i com s’ha fet a l’Estratègia de Lisboa, en la que s’ha inclòs com a indicador el número d’anys de vida en bona salut.",000,,,,,,,
176,"Incloure la salut com a eix o àrea de subvenció explícita, en les diferents línies de suport econòmic, tal i com ja s’ha fet amb els Fons Europeus de Desenvolupament Regional, que es poden utilitzar per al desenvolupament i la millora de prestacions de salut que contribueixin al desenvolupament regional i a la millora de la qualitat de vida a les regions i municipalitats.",B102,,,GESTIÓN,SERVICIOS SANITARIOS,,,
177,"Fomentar els estudis d’avaluació de l’impacte en la salut, mitjançant l’aportació metodològica o finançant projectes que puguin ser extrapolables a altres àrees territorials.",000,,,,,,,
178,Ajudar a avaluar amb rigor les diverses experiències en aquest àmbit per fomentar i difondre les bones pràctiques.,000,,,,,,,
179,"Fomentar la inversió en serveis i programes de salut sexual i reproductiva, com a mecanisme per avançar vers l’equitat de gènere.",000,,,,,,,
180,Promoure mesures per prendre consciència de la necessitat de millorar la capacitació dels professionals de la salut pública per tal que puguin mobilitzar altres agents perquè tinguin en compte l’impacte sobre la salut de les seves polítiques/accions.,000,,,,,,,
181,Desenvolupar accions i programes transversals que tinguin com a principal objectiu la igualtat de tracte per a tothom en el conjunt del territori de la Unió Europea amb independència de l’orientació sexual o la identitat de gènere de les persones.,000,,,,,,,
182,"Lluitar contra les discriminacions múltiples que afecten les persones lgbt grans, les dones lesbianes o les persones lgbt immigrades. Amb especial atenció als serveis bàsics, com són la salut o l'educació. L'àmbit laboral europeu també ha de ser un àmbit de drets i, per tant, cal combatre qualsevol discriminació que pugui donar-se per orientació sexual o identitat de gènere en l'àmbit laboral o de selecció de personal en qualsevol país membre.",C102,,,FORMAS DE DISCRIMINACIÓN,LGBT,IGUALDAD DE GÉNERO,,
183,Suport a la informació i pedagogia en tot el territori de la UE a través de la difusió dels temes relatius a la igualtat i la finalització de totes les formes de discriminació en relació a l’orientació sexual o la identitat de gènere.,000,,,,,,,
184,"Suport a les campanyes d’informació sobre les pràctiques sexuals de risc per a la salut i a la promoció del preservatiu com a mètode més eficaç per combatre la infecció per VIH. La salut, i dins d'aquest apartat els tractaments per a les persones seropositives o malaltes de SIDA, ha de ser assegurada de manera universal en tot el territori de la Unió Europea.",000,,,,,,,
185,"Impulsar el compromís de la UE en l’àmbit internacional i en la seva política exterior contra tota discriminació contra les persones gais, lesbianes i transsexuals que es pugui produir arreu.",C101,,,LGBT,FORMAS DE DISCRIMINACIÓN,RELACIONES INTERNACIONALES,,
186,Més pressupost destinat als programes culturals. Fer efectiu els 70 cèntims per habitant per cultura que juntament amb altres organitzacions europees vam impulsar ja fa 5 anys.,000,,,,,,,
187,"Harmonització en tots els països de la UE de l’IVA super- reduït del 4% a tots els serveis i productes culturals (llibres, discs, DVD, entrades i instruments). No podem mantenir en el cas de béns de consum habitual, des del 0% d’Anglaterra o Irlanda en llibres, el 3% de Luxemburg en serveis culturals i publicacions o l'IVA espanyol diferenciant llibres de la resta de productes i serveis.",000,,,,,,,
188,"Directiva marc de protecció social adequada a tots els artistes i creadors en tota la UE, i coordinació dels marcs laborals dels treballadors europeus.",000,,,,,,,
189,Directiva de Fundacions i Mecenatge que impulsi i estimuli el sector cultural.,000,,,,,,,
190,"Estudiar la implantació del Banc de la Cultura, actuant sota criteris inversors, amb instruments financers similars a les línies articulades al tercer sector, amb la singularitat del sector cultural i de les petites i mitjanes empreses habituals en aquest sector d’empreses culturals. Tenint present l’impacte de les tecnologies digitals sobre els processos de producció, distribució i consum cultural.",000,,,,,,,
191,"Impuls de les noves tecnologies (i els continguts digitals) que han de suposar una major visibilitat, preservació i extensió de la diversitat cultural i lingüística, patrimoni de tots els europeus i una millora de les possibilitats de producció, d'aprenentatge, de formació permanent, de comunicació i de continguts.",000,,,,,,,
192,"Revisió de les directives sobre els drets d'autor i drets afins als nous formats i en el marc de les TIC. Adaptar-les a les legislacions més avançades en el marc de fer compatibles els drets d’autor, l’impacte de les noves tecnologies, els nous factors i els agents que intervenen en els drets d’autor i la societat, conciliar els necessaris drets d’autor i l’accessibilitat universal i els drets dels usuaris.",000,,,,,,,
193,"Impuls dels enllaços entre grups de recerca europeus (xarxes de ciències socials, ciències experimentals i centres de creació i producció artística).",000,,,,,,,
194,"Creació de xarxes i serveis telemàtics que connectin les institucions culturals (biblioteques, museus, teatres, centres d’art, etc.).",000,,,,,,,
195,Accions especials per reforçar la identitat europea i la seva diversitat. Millora dels programes i condicions del programa CULTURA.,C101,,,CIUDADANÍA EUROPEA,REGULACIÓN,,,
196,"Afavorir la innovació, l’intercanvi i la creativitat en les assignacions de les Capitals Europees de la Cultura.",000,,,,,,,
197,"Intercanvi de formadors, creadors i d’estudiants.",000,,,,,,,
198,"Afavorir i estimular les cooperacions culturals (cal un gir i cal prioritzar les cooperacions a petits projectes (cultura-educació) i intercanvi en els nous territoris, per afavorir-ne encara més la creació i la pertinença.",000,,,,,,,
199,Reconeixement de la llengua catalana com a llengua oficial comunitària per estendre en la pràctica l’ús del català en les institucions europees.,000,,,,,,,
200,"Programes per afavorir la mobilitat dels creadors, mitjançant un ERASMUS per a creadors i professionals de les arts de l'espectacle.",000,,,,,,,
201,"Impuls de la cultura científica. La ciència, les humanitats i la tecnologia són avui peces indestriables de coneixement i de creativitat.",000,,,,,,,
202,Augment dels ajuts a les traduccions i difusió de l’obra literària europea. Dia del Llibre a escala europea.,000,,,,,,,
203,"Projecte Euroglobe, reforçament del reconeixement dels creadors i enriquiment de la ciutadania.",000,,,,,,,
204,"Observatori cultural, reforç dels instruments d’informació, anàlisi, planificació i cooperació europea dels actors culturals.",000,,,,,,,
205,"Destinació del 0,5% cultural a obres d’art en tota obra pública amb fons europeus.",000,,,,,,,
206,Garantir les produccions amb la incorporació de les llengües europees anomenades minoritàries.,000,,,,,,,
207,"Incrementar la quota de mercat de les pel·lícules europees distribuïdes en països fora d’on han estat produïdes, i acostar-nos al 20%, mitjançant els programes de suport audiovisual.",000,,,,,,,
208,Protecció del patrimoni cinematogràfic,000,,,,,,,
209,"En tots els festivals europeus, dedicació com a mínim d’un dia al cinema europeu. Establiment del Premi europeu del cinema.",000,,,,,,,
210,"Millora de la circulació i promoció dels films, documentals i d'altres audiovisuals en el marc europeu i internacional. Una dimensió més europea de la promoció, difusió i distribució.",000,,,,,,,
211,Impuls i foment del subtítol i les còpies multilingües; tenir presents les anomenades llengües minoritàries.,000,,,,,,,
212,Estímul a la coproducció cinematogràfica.,000,,,,,,,
213,"Formació continuada i suport al desenvolupament de projectes: documentals, animació, ficció i multimèdia.",000,,,,,,,
214,"Aplicació de l’excepció cultural als acords de lliure comerç davant dels posicionaments de l'OMC (Organització Mundial del Comerç), i les actuacions de les multinacionals nord-americanes que operen amb sistemes no permesos al seu país, per protegir la indústria cultural de l’Estat i d’Europa.",000,,,,,,,
215,"La valoració, protecció i difusió del patrimoni arxivístic, arqueològic, arquitectònic i industrial amb instruments de conservació però també de digitalització i difusió.",000,,,,,,,
216,Jornades de Patrimoni Europeu: posar en valor el patrimoni comú i el desenvolupament del turisme cultural.,000,,,,,,,
217,Impulsar un programa europeu per la recuperació de la memòria democràtica de la lluita contra els totalitarismes a Europa. Amb subvencions específiques a programes transnacionals.,C101,,,"VALORES, DERECHOS Y LIBERTADES",FINANCIACIÓN,,,
218,"Manteniment del criteri de la directiva de televisió sense fronteres per a tots els canals televisius públics i privats que operen a la UE, que suposa un tant per cent de programació del propi país i dels estats de la UE, la limitació dels talls publicitaris durant l’emissió de pel·lícules, la limitació del temps i de la freqüència d’emissió i un control sobre la publicitat adreçada als infants, així com de l'establiment d'horari de protecció a la infància.",000,,,,,,,
219,Dotar Europa de canals de televisió que la tinguin com a referent i també de canals especialitzats. Aquesta televisió paneuropea hauria de comptar amb freqüències en la futura televisió digital terrestre i hauria de poder figurar als paquets de cable i satèl·lit.,000,,,,,,,
220,"Nou impuls als programes comunitaris vinculats a accions de caràcter cultural. Precisen d’una major concreció, ampliació pressupostària i redefinició dels seus objectius. Aquesta mesura ha d'anar acompanyada d'un major nivell de coordinació de la política cultural dels estats i de les iniciatives de la UE. Aquests programes cal entendre’ls des de la concepció de l’educació, la cultura i la formació. Amb accent prioritari a la mobilitat transnacional.",000,,,,,,,
221,"Sancionar als operadors que no ofereixin els seus serveis en temps, forma i preu acordat, tot garantint que han d'establir de forma clara i transparent per a tothom les condicions ofertes. Estendre la responsabilitat legal als quadres directius per pràctiques comercials que siguin considerades fraudulentes.",000,,,,,,,
222,"Impulsar nous models de desplegament de xarxes de fibra òptica que garanteixin l'equilibri territorial i plena competència en serveis i qualitat i que es complementin amb polítiques de xoc i actuacions públiques per aconseguir que les mitjanes europees del nivell d’accés a Internet siguin les dels països més avançats. El desplegament d’infraestructures de telecomunicacions neutres des del sector públic és una garantia per tal que la ciutadania, les empreses i les mateixes administracions puguin disposar de nous serveis de qualitat i a preus competitius. Afavorir la compartició d'infraestructures entre operadors, tot establint sistemes de contraprestació i exigir inversions reals als operadors que vulguin actuar en el mercat de les telecomunicacions.",000,,,,,,,
223,"Promoure l’ús del programari lliure. Les institucions públiques s’han de posicionar de forma clara a favor de l’ús del programari lliure i dels estàndards oberts i oferir tots els continguts que estiguin finançats amb fons públics, siguin textuals i/o multimèdia, amb llicències obertes (copyleft). ICV-EUiA dóna suport al programa IDABC de la Comissió Europea que promou l'ús de programari lliure i la petició Open Parlament de recomanar l'ús d'estàndards oberts entre el Parlament i els ciutadans. Seguir vetllant per evitar que prosperin els intents de legalitzar les patents de programari a Europa.",000,,,,,,,
224,"Ens oposem a la ratificació de l'Acord Internacional Contra la Falsificació (ACTA), negociat en secret i que tenim tots els motius per creure que, sota pretext d'una legítima lluita contra la falsificació, hi ha un intent de legalitzar una xarxa de vigilància i detecció. El text d'aquest tractat ha de ser portat a un debat públic.",000,,,,,,,
225,"Potenciar una cultura de l’esport igualitària en què tothom tingui les mateixes oportunitats de participar, actuar i prendre decisions en l’esport.",000,,,,,,,
226,"Incrementar la pràctica esportiva femenina, mantenir la bona línia de resultats de l’esport femení en alta competició i, alhora, incrementar el nombre de dones dirigents en l’esport.",000,,,,,,,
227,Cal que hi hagi les mateixes oportunitats per a homes i dones a l’hora de fer qualsevol esport.,C101,,,IGUALDAD DE GÉNERO,,,,
228,"Que el Parlament Europeu prengui mesures i les porti a terme en la lluita contra el dopatge, la violència i les pràctiques de risc per a l’esportista.",000,,,,,,,
229,"Promoure pràctiques esportives i esdeveniments que afavoreixin la solidaritat dels participant, el coneixement del medi i el seu respecte.",000,,,,,,,
230,"Establir normes i desenvolupar mesures que permetin regular, de forma sostenible, l’activitat esportiva dels ciutadans i les ciutadanes a la natura: esports d’aventura, pesca, caça, circuits de motocros i autocros, camps de golf, estacions d’esquí, ports esportius, etc.",000,,,,,,,
231,"Fomentar l’ús dels camps de gespa artificial (major rendibilitat econòmica, major ocupació i el seu manteniment té un baix cost). L’aigua és un bé escàs i cal que se’n faci un bon ús.",D302,,,AGUA,,,,
232,"Que la Unió Europea fomenti amb suport econòmic les iniciatives que facilitin la igualtat d’oportunitats de tots els ciutadans i les ciutadanes per a la pràctica esportiva, especialment aquells col·lectius que poden trobar majors dificultats per a la seva integració en els nostres països.",000,,,,,,,
233,"Definir el caràcter plenament mercantil, i per tant autònom i no subvencionable, de les societat que regeixen els equips que participen en competicions professionals, sigui quina sigui la modalitat esportiva o la forma que adoptin aquestes societats.",000,,,,,,,
234,"Garantir els drets dels i les esportistes professionals i l’honestedat de la competició (lluita contra pràctiques irregulars, dopatge, violència, etc.).",000,,,,,,,
235,"Garantir la contribució de l’esport professional a l’esport de base, estudiar l’establiment d’una taxa específica sobre les transaccions i els fixatges de jugadors/es professionals que es destinaria a l’esport de base, a través d’una Federació Europea de l’Esport Professional.",000,,,,,,,
236,"Cal que Europa sigui un model quant a les seleccions. Països com Catalunya, que tenen una identitat pròpia, han de poder tenir seleccions esportives.",000,,,,,,,
237,"Modificació dels òrgans de participació per tal que els representants de les persones consumidores hi tinguin accés i per tal que la seva participació sigui significativa. En el marc de la Unió la situació de debilitat dels moviments associatius de les persones consumidores és molt rellevant, malgrat el programa de política dels consumidors de la Comissió, la insignificança dels grups de consumidors front els grans grups de pressió, els trusts de productors o les organitzacions patronals, és manifesta.",000,,,,,,,
238,"Integrar tota la normativa europea de defensa dels drets de les persones consumidores en un text únic, per tal de millorar la normativa actual que regula a la baixa drets que ja estan consolidats en molt estats de la Unió i millorar-ne alguns aspectes, com ara la regulació dels contractes financers i d’assegurances. Cal fer un esforç legislatiu per tal que també en l’àmbit dels contractes de serveis financers i d’assegurances es puguin diferenciar els contractes de consum i els contractes entre professionals, que tinguin regulacions diferenciades i que garanteixin drets de les persones consumidores atesa la seva situació d’indefensió front les grans corporacions.",000,,,,,,,
239,"Cal que la política dels consumidors de la UE assumeixi, de veritat, el principi de subsidiarietat i modifiqui el seu enfocament cap a les administracions més properes a la ciutadania. La política actual de defensa dels consumidors de la UE està centrada exclusivament en l’àmbit estatal (estat membre) i en el no governamental (organitzacions de consumidors). Aquest enfocament pot ser apropiat per a determinats estats, però no per a d’altres, com ara Espanya. Hem de defensar la importància del poder local en la implementació de les polítiques de defensa de les persones consumidores, tant en àmbits regionals com estrictament locals. Hem d’aconseguir que el finançament europeu tingui en compte també projectes locals en tant que són les administracions més properes a la ciutadania i que poden ser un exemple de bona pràctica per a altres ens locals europeus.",000,,,,,,,
240,"ICV-EUiA aposta per realitzar reformes institucionals necessàries mitjançant un acord del Consell Europeu. Paral·lelament, reclamem la convocatòria immediata d'una conferència intergovernamenal per repensar l'entramat institucional de la Unió i concretament el seu Govern econòmic. Aquesta conferència intergovernamental, que ha de comptar en el seus debats amb el Parlament Europeu, ha de proposar una Convenció europea que compti amb la participació dels principals actors econòmics i socials, el Comitè Econòmic i socials i els sindicats, per anar perfilant una proposta.",000,,,,,,,
241,"D’aquest procés n’ha de sortir un nou Tractat per a la Unió que tingui com a eix central la redefinició de la política econòmica a Europa, que sens dubte haurà de portar a la creació d’una hisenda i una fiscalitat europees, repensar les regles de la política monetària i fiscal, fent de la Unió un actor econòmic rellevant i amb capacitat d’intervenció.",000,,,,,,,
242,"Per evitar aquestes situacions, ICV-EUiA dóna suport a la petició de la CES d’incloure en els Tractats de la Unió una clàusula de progrés social a la UE que subministri al TJCE un principi jurídic vinculant que posi fi a aquesta jurisprudència hostil.",000,,,,,,,
243,"Ampliació de la UE a Turquia i a d’altres països que puguin demanar- ne la integració, tot permetent l’establiment de velocitats variables que facin que això no suposi un fre a la integració, ni un retrocés en matèria de drets socials per a aquells països més avançats.",000,,,,,,,
244,"Facultat d’iniciativa legislativa pel Parlament Europeu. En aquest sentit, el Parlament Europeu, que és l'únic òrgan escollit per sufragi directe, ha de disposar de plena capacitat legislativa.",000,,,,,,,
245,"El Parlament Europeu ha de poder proposar i escollir el/la president/a de la Comissió Europea, i no només el Consell com succeeix actualment, quan el PE només pot votar l'Executiu comunitari en bloc.",000,,,,,,,
